latitude,longitude,soil_type,rainfall_mm,season,area_ha,crop_name
11.061604,89.87574,Clay,1298,Kharif,0.1,Sugarcane
8.874024,70.76401,Laterite,1096,Kharif,1.63,Millets
14.062117,85.383338,Red,430,Kharif,0.79,Pulses
13.921128,90.523077,Loamy,1088,Rabi,2.83,Vegetables
28.067624,83.818729,Black (Regur),786,Kharif,3.13,Jute
9.912767,87.507268,Alluvial,475,Rabi,1.92,Wheat
25.481322,78.762549,Red,675,Kharif,0.1,Millets
25.461903,83.757126,Laterite,289,Kharif,3.99,Millets
26.826892,92.864132,Sandy,326,Rabi,0.1,Pulses
33.111243,84.731812,Red,277,Kharif,0.5,Millets
11.839834,89.977175,Sandy,347,Kharif,0.2,Pulses
22.011973,70.681828,Red,434,Kharif,2.08,Millets
18.581101,85.578709,Clay,1103,Kharif,1.07,Rice
26.747035,83.840625,Loamy,625,Kharif,2.34,Maize
32.085956,75.769977,Sandy,757,Rabi,1.47,Millets
21.960729,73.867878,Red,394,Rabi,0.99,Sugarcane
16.914292,68.574564,Red,1026,Rabi,0.6,Rice
34.04111,70.526777,Alluvial,600,Kharif,1.3,Maize
34.038339,72.871245,Alluvial,1476,Kharif,1.88,Sugarcane
13.531654,77.195631,Alluvial,606,Rabi,2.05,Wheat
17.297353,85.355107,Clay,1497,Kharif,1.59,Rice
31.639974,70.090292,Loamy,884,Rabi,1.64,Vegetables
29.577034,91.821161,Red,548,Kharif,0.56,Pulses
9.489708,87.276937,Alluvial,638,Rabi,2.13,Wheat
22.747858,72.135378,Sandy,641,Rabi,4.22,Oilseeds
23.133946,69.492356,Sandy,1572,Rabi,0.97,Cotton
21.237356,93.507187,Alluvial,1198,Kharif,1.52,Oilseeds
34.326235,97.364969,Black (Regur),551,Kharif,1.57,Cotton
28.232772,69.798248,Clay,1352,Kharif,0.78,Sugarcane
10.203065,73.481836,Loamy,655,Kharif,0.57,Vegetables
9.092896,70.41851,Black (Regur),972,Kharif,1.1,Cotton
14.563864,79.675682,Loamy,234,Rabi,2.23,Wheat
35.457497,97.384845,Alluvial,740,Kharif,1.48,Jute
18.161995,72.653532,Sandy,330,Kharif,4.76,Millets
30.470364,76.831673,Loamy,599,Rabi,0.85,Wheat
15.489576,85.84248,Alluvial,1324,Kharif,0.1,Sugarcane
9.39697,86.711391,Laterite,240,Kharif,1.55,Millets
28.38385,84.274572,Alluvial,782,Kharif,3.37,Maize
18.15344,84.29949,Clay,1443,Kharif,3.9,Rice
26.756834,87.674536,Red,1128,Rabi,0.68,Vegetables
31.776657,96.798078,Alluvial,1707,Kharif,1.9,Jute
30.061466,93.489889,Red,521,Kharif,3.07,Pulses
