state,region,soil_type,rainfall_mm,season,area_ha,crop_name
Rajasthan,West,Alluvial,1557,Kharif,0.1,Sugarcane
Maharashtra,West,Red,430,Kharif,1.63,Millets
Maharashtra,West,Sandy,563,Rabi,0.79,Pulses
Chhattisgarh,Central,Alluvial,870,Kharif,2.83,Vegetables
Arunachal Pradesh,Northeast,Alluvial,1717,Kharif,3.13,Jute
Tamil Nadu,South,Loamy,818,Kharif,1.92,Wheat
Manipur,Northeast,Red,636,Kharif,0.1,Millets
Punjab,North,Red,447,Kharif,3.99,Millets
Haryana,North,Sandy,362,Kharif,0.1,Pulses
Gujarat,West,Red,671,Kharif,0.5,Millets
Himachal Pradesh,North,Sandy,580,Kharif,0.2,Pulses
Chhattisgarh,Central,Red,690,Rabi,2.08,Millets
Assam,Northeast,Clay,1544,Kharif,1.07,Rice
Bihar,East,Clay,796,Rabi,2.34,Maize
Telangana,South,Red,517,Rabi,1.47,Millets
Rajasthan,West,Alluvial,1913,Rabi,0.99,Sugarcane
Punjab,North,Clay,1395,Rabi,0.6,Rice
Odisha,East,Clay,752,Rabi,1.3,Maize
Meghalaya,Northeast,Alluvial,1639,Rabi,1.88,Sugarcane
Tamil Nadu,South,Loamy,715,Rabi,2.05,Wheat
Assam,Northeast,Clay,1454,Rabi,1.59,Rice
Arunachal Pradesh,Northeast,Alluvial,993,Kharif,1.64,Vegetables
Haryana,North,Sandy,357,Kharif,0.56,Pulses
Telangana,South,Loamy,851,Kharif,2.13,Wheat
Gujarat,West,Laterite,597,Kharif,4.22,Oilseeds
West Bengal,East,Black (Regur),865,Rabi,0.97,Cotton
Meghalaya,Northeast,Laterite,522,Kharif,1.52,Oilseeds
Tamil Nadu,South,Black (Regur),879,Rabi,1.57,Cotton
Odisha,East,Alluvial,1778,Kharif,0.78,Sugarcane
Mizoram,Northeast,Alluvial,983,Kharif,0.57,Vegetables
Punjab,North,Black (Regur),930,Rabi,1.1,Cotton
Karnataka,South,Loamy,763,Rabi,2.23,Wheat
Punjab,North,Alluvial,1551,Kharif,1.48,Jute
Haryana,North,Red,459,Kharif,4.76,Millets
Sikkim,Northeast,Loamy,747,Kharif,0.85,Wheat
Chhattisgarh,Central,Alluvial,1824,Kharif,0.1,Sugarcane
West Bengal,East,Red,485,Kharif,1.55,Millets
Goa,West,Clay,729,Rabi,3.37,Maize
Uttarakhand,North,Clay,1319,Kharif,3.9,Rice
Gujarat,West,Alluvial,966,Rabi,0.68,Vegetables
Haryana,North,Alluvial,1404,Kharif,1.9,Jute
Maharashtra,West,Sandy,476,Kharif,3.07,Pulses
West Bengal,East,Black (Regur),731,Kharif,0.1,Cotton
Gujarat,West,Sandy,366,Zaid,3.19,Pulses
Uttarakhand,North,Loamy,674,Rabi,3.08,Potato
Punjab,North,Alluvial,1180,Kharif,1.44,Vegetables
Arunachal Pradesh,Northeast,Red,579,Kharif,0.1,Millets
Maharashtra,West,Loamy,732,Rabi,0.97,Potato
Sikkim,Northeast,Sandy,460,Rabi,3.16,Pulses
Goa,West,Alluvial,1187,Rabi,2.28,Vegetables
Karnataka,South,Clay,824,Kharif,0.1,Maize
Jharkhand,East,Loamy,603,Kharif,1.24,Potato
Gujarat,West,Red,606,Rabi,0.19,Millets
Tamil Nadu,South,Loamy,835,Kharif,0.1,Wheat
Haryana,North,Loamy,784,Kharif,0.55,Wheat
Uttar Pradesh,North,Alluvial,1088,Rabi,0.72,Vegetables
Mizoram,Northeast,Loamy,808,Rabi,0.14,Potato
Uttarakhand,North,Loamy,920,Kharif,2.79,Potato
Karnataka,South,Black (Regur),1052,Kharif,1.96,Cotton
Maharashtra,West,Alluvial,939,Kharif,2.75,Vegetables
Andhra Pradesh,South,Sandy,412,Kharif,1.14,Pulses
Uttarakhand,North,Loamy,982,Rabi,0.67,Potato
Andhra Pradesh,South,Clay,982,Kharif,2.66,Maize
Nagaland,Northeast,Laterite,750,Rabi,2.14,Oilseeds
Himachal Pradesh,North,Sandy,472,Kharif,0.84,Pulses
Assam,Northeast,Red,412,Zaid,2.91,Millets
Andhra Pradesh,South,Loamy,879,Rabi,2.86,Wheat
Gujarat,West,Loamy,890,Kharif,0.26,Wheat
Goa,West,Sandy,321,Zaid,0.3,Pulses
Tamil Nadu,South,Red,454,Rabi,2.73,Millets
Bihar,East,Alluvial,1653,Kharif,2,Sugarcane
Andhra Pradesh,South,Laterite,664,Kharif,3.43,Oilseeds
Maharashtra,West,Laterite,785,Kharif,0.11,Oilseeds
Uttarakhand,North,Laterite,572,Kharif,1.11,Oilseeds
Manipur,Northeast,Black (Regur),886,Kharif,0.89,Cotton
Himachal Pradesh,North,Black (Regur),899,Rabi,1,Cotton
Telangana,South,Clay,1328,Rabi,0.39,Rice
Haryana,North,Sandy,341,Rabi,1.75,Pulses
Nagaland,Northeast,Alluvial,1574,Kharif,3.4,Jute
Nagaland,Northeast,Alluvial,1900,Kharif,1.69,Sugarcane
Bihar,East,Loamy,928,Kharif,1.63,Potato
Arunachal Pradesh,Northeast,Clay,1595,Rabi,0.94,Rice
Meghalaya,Northeast,Loamy,753,Kharif,1.05,Wheat
Assam,Northeast,Black (Regur),700,Kharif,1.11,Cotton
Tripura,Northeast,Laterite,642,Kharif,1.31,Oilseeds
Odisha,East,Black (Regur),1078,Kharif,1.36,Cotton
Himachal Pradesh,North,Alluvial,1089,Rabi,2.52,Vegetables
Arunachal Pradesh,Northeast,Loamy,741,Rabi,1.88,Potato
Rajasthan,West,Loamy,983,Kharif,1.02,Potato
Assam,Northeast,Loamy,702,Rabi,1.08,Wheat
Jharkhand,East,Sandy,351,Kharif,2.12,Pulses
Punjab,North,Red,666,Rabi,0.16,Millets
Odisha,East,Alluvial,893,Kharif,1.84,Vegetables
Uttarakhand,North,Clay,872,Kharif,2.01,Maize
Tamil Nadu,South,Alluvial,1538,Rabi,1.09,Jute
Bihar,East,Laterite,775,Rabi,1.52,Oilseeds
Gujarat,West,Alluvial,1646,Rabi,0.69,Sugarcane
Jharkhand,East,Clay,798,Kharif,0.1,Maize
Andhra Pradesh,South,Clay,916,Zaid,1.64,Maize
Tamil Nadu,South,Alluvial,1623,Rabi,1.39,Sugarcane
Gujarat,West,Sandy,531,Rabi,3.59,Pulses
Uttar Pradesh,North,Red,407,Rabi,0.15,Millets
Chhattisgarh,Central,Alluvial,1457,Rabi,1.14,Jute
Tamil Nadu,South,Sandy,448,Rabi,2.04,Pulses
Sikkim,Northeast,Alluvial,982,Kharif,1.83,Vegetables
Bihar,East,Red,414,Zaid,1.56,Millets
Assam,Northeast,Alluvial,1455,Rabi,1.79,Jute
West Bengal,East,Clay,1209,Rabi,0.1,Rice
Haryana,North,Red,421,Rabi,1.72,Millets
Bihar,East,Alluvial,1610,Kharif,0.54,Jute
Haryana,North,Sandy,508,Kharif,2.97,Pulses
Haryana,North,Clay,1416,Kharif,2.42,Rice
Manipur,Northeast,Loamy,936,Kharif,0.3,Potato
Maharashtra,West,Black (Regur),962,Kharif,2.41,Cotton
Kerala,South,Clay,1406,Kharif,0.44,Rice
Sikkim,Northeast,Black (Regur),823,Rabi,0.1,Cotton
Kerala,South,Clay,810,Rabi,0.1,Maize
Rajasthan,West,Loamy,997,Kharif,1.98,Potato
Maharashtra,West,Loamy,696,Rabi,2.56,Potato
Himachal Pradesh,North,Laterite,552,Kharif,0.1,Oilseeds
Chhattisgarh,Central,Alluvial,1830,Rabi,1.11,Sugarcane
Uttar Pradesh,North,Alluvial,1005,Kharif,0.1,Vegetables
Rajasthan,West,Alluvial,1497,Kharif,0.1,Jute
Haryana,North,Clay,730,Zaid,2.66,Maize
Arunachal Pradesh,Northeast,Alluvial,1304,Kharif,1.22,Jute
Telangana,South,Loamy,829,Rabi,2.53,Wheat
Punjab,North,Black (Regur),850,Rabi,2.77,Cotton
Bihar,East,Loamy,880,Kharif,1.96,Wheat
Uttarakhand,North,Alluvial,1763,Rabi,1.43,Jute
Chhattisgarh,Central,Black (Regur),803,Rabi,2.31,Cotton
Chhattisgarh,Central,Loamy,840,Rabi,2,Potato
Bihar,East,Clay,1387,Kharif,0.1,Rice
Arunachal Pradesh,Northeast,Alluvial,1551,Rabi,1.81,Sugarcane
Manipur,Northeast,Loamy,669,Rabi,0.55,Potato
Andhra Pradesh,South,Laterite,523,Kharif,2.69,Oilseeds
Assam,Northeast,Alluvial,1466,Kharif,0.38,Jute
Punjab,North,Red,671,Kharif,0.93,Millets
Tripura,Northeast,Laterite,513,Kharif,2.58,Oilseeds
Telangana,South,Laterite,748,Kharif,0.97,Oilseeds
Uttarakhand,North,Alluvial,1139,Rabi,0.1,Vegetables
Nagaland,Northeast,Clay,1293,Rabi,1.05,Rice
Punjab,North,Loamy,770,Kharif,0.79,Wheat
Nagaland,Northeast,Alluvial,1014,Kharif,2.16,Vegetables
Rajasthan,West,Loamy,761,Rabi,2.25,Potato
Kerala,South,Clay,1402,Rabi,2.34,Rice
Mizoram,Northeast,Alluvial,992,Kharif,2.48,Vegetables
