latitude,longitude,soil_type,rainfall_mm,season,area_ha,crop_name,predicted_yield_kg_per_ha
11.061604,89.87574,Laterite,861,Kharif,0.1,Sugarcane,56350
8.874024,70.76401,Laterite,1096,Kharif,1.63,Millets,1474
14.062117,85.383338,Clay,909,Rabi,0.79,Pulses,1006
13.921128,90.523077,Alluvial,1377,Kharif,2.83,Vegetables,15094
28.067624,83.818729,Black (Regur),786,Kharif,3.13,Jute,2686
9.912767,87.507268,Clay,1091,Kharif,1.92,Wheat,2869
25.481322,78.762549,Red,675,Kharif,0.1,Millets,1393
25.461903,83.757126,Laterite,241,Kharif,3.99,Millets,1120
26.826892,92.864132,Clay,1136,Kharif,0.1,Pulses,901
33.111243,84.731812,Loamy,731,Kharif,0.5,Millets,1687
11.839834,89.977175,Sandy,347,Kharif,0.2,Pulses,706
22.011973,70.681828,Alluvial,1001,Rabi,2.08,Millets,1876
18.581101,85.578709,Black (Regur),1485,Kharif,1.07,Rice,2937
26.747035,83.840625,Red,765,Rabi,2.34,Maize,3478
32.085956,75.769977,Sandy,757,Rabi,1.47,Millets,1413
21.960729,73.867878,Red,394,Rabi,0.99,Sugarcane,69929
16.914292,68.574564,Red,1026,Rabi,0.6,Rice,3121
34.04111,70.526777,Black (Regur),1266,Rabi,1.3,Maize,3592
34.038339,72.871245,Sandy,716,Rabi,1.88,Sugarcane,67071
13.531654,77.195631,Loamy,564,Rabi,2.05,Wheat,3000
17.297353,85.355107,Laterite,1370,Rabi,1.59,Rice,2528
31.639974,70.090292,Laterite,528,Kharif,1.64,Vegetables,13888
29.577034,91.821161,Laterite,748,Kharif,0.56,Pulses,844
9.489708,87.276937,Loamy,676,Kharif,2.13,Wheat,2728
22.747858,72.135378,Laterite,900,Kharif,4.22,Oilseeds,1203
23.133946,69.492356,Sandy,1572,Rabi,0.97,Cotton,1570
21.237356,93.507187,Alluvial,1198,Kharif,1.52,Oilseeds,1326
34.326235,97.364969,Sandy,705,Rabi,1.57,Cotton,2147
28.232772,69.798248,Red,593,Kharif,0.78,Sugarcane,54643
10.203065,73.481836,Sandy,1097,Kharif,0.57,Vegetables,13555
9.092896,70.41851,Loamy,206,Rabi,1.1,Cotton,1965
14.563864,79.675682,Loamy,234,Rabi,2.23,Wheat,2399
35.457497,97.384845,Alluvial,740,Kharif,1.48,Jute,2983
18.161995,72.653532,Clay,620,Kharif,4.76,Millets,1433
30.470364,76.831673,Loamy,1069,Kharif,0.85,Wheat,3329
