state,region,soil_type,rainfall_mm,season,area_ha,crop_name,predicted_yield_kg_per_ha
Rajasthan,West,Laterite,861,Kharif,0.1,Sugarcane,56350
Maharashtra,West,Laterite,1096,Kharif,1.63,Millets,1474
Maharashtra,West,Clay,909,Rabi,0.79,Pulses,1006
Chhattisgarh,Central,Alluvial,1377,Kharif,2.83,Vegetables,15094
Arunachal Pradesh,Northeast,Black (Regur),786,Kharif,3.13,Jute,2686
Tamil Nadu,South,Clay,1091,Kharif,1.92,Wheat,2869
Manipur,Northeast,Red,675,Kharif,0.1,Millets,1393
Punjab,North,Laterite,241,Kharif,3.99,Millets,1120
Haryana,North,Clay,1136,Kharif,0.1,Pulses,901
Gujarat,West,Loamy,731,Kharif,0.5,Millets,1687
Himachal Pradesh,North,Sandy,347,Kharif,0.2,Pulses,706
Chhattisgarh,Central,Alluvial,1001,Rabi,2.08,Millets,1876
Assam,Northeast,Black (Regur),1485,Kharif,1.07,Rice,2937
Bihar,East,Red,765,Rabi,2.34,Maize,3478
Telangana,South,Sandy,757,Rabi,1.47,Millets,1413
Rajasthan,West,Red,394,Rabi,0.99,Sugarcane,69929
Punjab,North,Red,1026,Rabi,0.6,Rice,3121
Odisha,East,Black (Regur),1266,Rabi,1.3,Maize,3592
Meghalaya,Northeast,Sandy,716,Rabi,1.88,Sugarcane,67071
Tamil Nadu,South,Loamy,564,Rabi,2.05,Wheat,3000
Assam,Northeast,Laterite,1370,Rabi,1.59,Rice,2528
Arunachal Pradesh,Northeast,Laterite,528,Kharif,1.64,Vegetables,13888
Haryana,North,Laterite,748,Kharif,0.56,Pulses,844
Telangana,South,Loamy,676,Kharif,2.13,Wheat,2728
Gujarat,West,Laterite,900,Kharif,4.22,Oilseeds,1203
West Bengal,East,Sandy,1572,Rabi,0.97,Cotton,1570
Meghalaya,Northeast,Alluvial,1198,Kharif,1.52,Oilseeds,1326
Tamil Nadu,South,Sandy,705,Rabi,1.57,Cotton,2147
Odisha,East,Red,593,Kharif,0.78,Sugarcane,54643
Mizoram,Northeast,Sandy,1097,Kharif,0.57,Vegetables,13555
Punjab,North,Loamy,206,Rabi,1.1,Cotton,1965
Karnataka,South,Loamy,234,Rabi,2.23,Wheat,2399
Punjab,North,Alluvial,740,Kharif,1.48,Jute,2983
Haryana,North,Clay,620,Kharif,4.76,Millets,1433
Sikkim,Northeast,Loamy,1069,Kharif,0.85,Wheat,3329
Chhattisgarh,Central,Loamy,675,Kharif,0.1,Sugarcane,66537
West Bengal,East,Clay,1415,Kharif,1.55,Millets,1479
Goa,West,Black (Regur),1451,Rabi,3.37,Maize,3356
Uttarakhand,North,Black (Regur),670,Kharif,3.9,Rice,3231
Gujarat,West,Red,1128,Rabi,0.68,Vegetables,18431
Haryana,North,Clay,739,Kharif,1.9,Jute,2662
Maharashtra,West,Clay,1151,Kharif,3.07,Pulses,1015
West Bengal,East,Black (Regur),1160,Kharif,0.1,Cotton,1994
Gujarat,West,Alluvial,821,Zaid,3.19,Pulses,969
Uttarakhand,North,Alluvial,872,Rabi,3.08,Potato,25369
Punjab,North,Red,1048,Kharif,1.44,Vegetables,14970
Arunachal Pradesh,Northeast,Clay,805,Kharif,0.1,Millets,1479
Maharashtra,West,Red,819,Rabi,0.97,Potato,24173
Sikkim,Northeast,Red,1058,Rabi,3.16,Pulses,1022
Goa,West,Sandy,831,Rabi,2.28,Vegetables,16043
Karnataka,South,Laterite,1106,Kharif,0.1,Maize,3120
Jharkhand,East,Red,1109,Kharif,1.24,Potato,20736
Gujarat,West,Black (Regur),938,Rabi,0.19,Millets,1846
Tamil Nadu,South,Laterite,657,Kharif,0.1,Wheat,2527
Haryana,North,Sandy,273,Kharif,0.55,Wheat,1887
Uttar Pradesh,North,Sandy,1501,Rabi,0.72,Vegetables,14312
Mizoram,Northeast,Black (Regur),886,Rabi,0.14,Potato,28024
Uttarakhand,North,Sandy,921,Kharif,2.79,Potato,18592
Karnataka,South,Laterite,771,Kharif,1.96,Cotton,1725
Maharashtra,West,Alluvial,329,Kharif,2.75,Vegetables,18211
Andhra Pradesh,South,Black (Regur),1136,Kharif,1.14,Pulses,1062
Uttarakhand,North,Sandy,1178,Rabi,0.67,Potato,21321
Andhra Pradesh,South,Clay,1071,Kharif,2.66,Maize,3683
Nagaland,Northeast,Sandy,1174,Rabi,2.14,Oilseeds,1103
Himachal Pradesh,North,Red,1076,Kharif,0.84,Pulses,853
Assam,Northeast,Alluvial,644,Zaid,2.91,Millets,1281
Andhra Pradesh,South,Alluvial,924,Rabi,2.86,Wheat,3602
Gujarat,West,Red,510,Kharif,0.26,Wheat,2667
Goa,West,Alluvial,317,Zaid,0.3,Pulses,828
Tamil Nadu,South,Clay,1313,Rabi,2.73,Millets,1514
Bihar,East,Alluvial,640,Kharif,2,Sugarcane,69929
Andhra Pradesh,South,Alluvial,490,Kharif,3.43,Oilseeds,1305
Maharashtra,West,Loamy,1033,Kharif,0.11,Oilseeds,1351
Uttarakhand,North,Clay,1122,Kharif,1.11,Oilseeds,1195
Manipur,Northeast,Red,1012,Kharif,0.89,Cotton,1937
Himachal Pradesh,North,Loamy,560,Rabi,1,Cotton,2070
Telangana,South,Laterite,687,Rabi,0.39,Rice,2591
Haryana,North,Loamy,536,Rabi,1.75,Pulses,1116
Nagaland,Northeast,Red,958,Kharif,3.4,Jute,2211
Nagaland,Northeast,Laterite,420,Kharif,1.69,Sugarcane,56650
Bihar,East,Red,1269,Kharif,1.63,Potato,19950
Arunachal Pradesh,Northeast,Laterite,902,Rabi,0.94,Rice,3164
Meghalaya,Northeast,Alluvial,995,Kharif,1.05,Wheat,3169
Assam,Northeast,Laterite,664,Kharif,1.11,Cotton,1579
Tripura,Northeast,Sandy,574,Kharif,1.31,Oilseeds,929
Odisha,East,Sandy,1032,Kharif,1.36,Cotton,1829
Himachal Pradesh,North,Laterite,1070,Rabi,2.52,Vegetables,16531
Arunachal Pradesh,Northeast,Loamy,1097,Rabi,1.88,Potato,29022
Rajasthan,West,Laterite,483,Kharif,1.02,Potato,20038
Assam,Northeast,Sandy,675,Rabi,1.08,Wheat,2471
Jharkhand,East,Sandy,525,Kharif,2.12,Pulses,760
Punjab,North,Loamy,244,Rabi,0.16,Millets,1517
Odisha,East,Black (Regur),673,Kharif,1.84,Vegetables,15755
Uttarakhand,North,Red,839,Kharif,2.01,Maize,3083
Tamil Nadu,South,Black (Regur),585,Rabi,1.09,Jute,2502
Bihar,East,Sandy,1505,Rabi,1.52,Oilseeds,992
Gujarat,West,Black (Regur),912,Rabi,0.69,Sugarcane,73011
Jharkhand,East,Alluvial,531,Kharif,0.1,Maize,3217
Andhra Pradesh,South,Clay,754,Zaid,1.64,Maize,3023
Tamil Nadu,South,Black (Regur),1122,Rabi,1.39,Sugarcane,73226
Gujarat,West,Laterite,812,Rabi,3.59,Pulses,905
Uttar Pradesh,North,Red,1106,Rabi,0.15,Millets,1642
Chhattisgarh,Central,Red,581,Rabi,1.14,Jute,2558
Tamil Nadu,South,Clay,1377,Rabi,2.04,Pulses,870
Sikkim,Northeast,Laterite,1244,Kharif,1.83,Vegetables,14611
Bihar,East,Sandy,1066,Zaid,1.56,Millets,1318
Assam,Northeast,Red,801,Rabi,1.79,Jute,2818
West Bengal,East,Loamy,935,Rabi,0.1,Rice,3830
Haryana,North,Laterite,775,Rabi,1.72,Millets,1622
Bihar,East,Alluvial,971,Kharif,0.54,Jute,2733
Haryana,North,Clay,1086,Kharif,2.97,Pulses,967
Haryana,North,Laterite,894,Kharif,2.42,Rice,3061
Manipur,Northeast,Laterite,1737,Kharif,0.3,Potato,18315
Maharashtra,West,Red,641,Kharif,2.41,Cotton,1762
Kerala,South,Red,1045,Kharif,0.44,Rice,3031
Sikkim,Northeast,Sandy,1222,Rabi,0.1,Cotton,2005
Kerala,South,Red,820,Rabi,0.1,Maize,3601
Rajasthan,West,Black (Regur),794,Kharif,1.98,Potato,23414
Maharashtra,West,Sandy,664,Rabi,2.56,Potato,20833
Himachal Pradesh,North,Clay,1271,Kharif,0.1,Oilseeds,1376
Chhattisgarh,Central,Loamy,1678,Rabi,1.11,Sugarcane,67632
Uttar Pradesh,North,Alluvial,691,Kharif,0.1,Vegetables,16322
Rajasthan,West,Laterite,374,Kharif,0.1,Jute,2222
Haryana,North,Black (Regur),801,Zaid,2.66,Maize,2886
Arunachal Pradesh,Northeast,Alluvial,610,Kharif,1.22,Jute,2593
Telangana,South,Sandy,1075,Rabi,2.53,Wheat,2932
Punjab,North,Alluvial,966,Rabi,2.77,Cotton,2721
Bihar,East,Loamy,743,Kharif,1.96,Wheat,3460
Uttarakhand,North,Loamy,995,Rabi,1.43,Jute,2840
Chhattisgarh,Central,Clay,955,Rabi,2.31,Cotton,2230
Chhattisgarh,Central,Red,997,Rabi,2,Potato,25580
Bihar,East,Alluvial,995,Kharif,0.1,Rice,3239
Arunachal Pradesh,Northeast,Alluvial,385,Rabi,1.81,Sugarcane,76117
Manipur,Northeast,Alluvial,1269,Rabi,0.55,Potato,27716
Andhra Pradesh,South,Black (Regur),1268,Kharif,2.69,Oilseeds,1210
Assam,Northeast,Laterite,646,Kharif,0.38,Jute,2003
Punjab,North,Sandy,939,Kharif,0.93,Millets,1379
Tripura,Northeast,Black (Regur),936,Kharif,2.58,Oilseeds,1296
Telangana,South,Loamy,1337,Kharif,0.97,Oilseeds,1065
Uttarakhand,North,Loamy,1044,Rabi,0.1,Vegetables,21781
Nagaland,Northeast,Red,1193,Rabi,1.05,Rice,3600
Punjab,North,Sandy,781,Kharif,0.79,Wheat,2424
Nagaland,Northeast,Sandy,552,Kharif,2.16,Vegetables,13213
Rajasthan,West,Loamy,879,Rabi,2.25,Potato,29756
Kerala,South,Sandy,1346,Rabi,2.34,Rice,2318
Mizoram,Northeast,Red,799,Kharif,2.48,Vegetables,16267
Arunachal Pradesh,Northeast,Alluvial,838,Rabi,3.25,Oilseeds,1557
Maharashtra,West,Alluvial,1246,Kharif,2.66,Vegetables,18430
Sikkim,Northeast,Sandy,1104,Kharif,4.28,Maize,3006
Jharkhand,East,Loamy,1154,Kharif,2.57,Cotton,2268
Uttarakhand,North,Black (Regur),956,Rabi,1.56,Wheat,3641
Odisha,East,Loamy,946,Kharif,1.66,Jute,2542
Punjab,North,Red,1025,Kharif,0.76,Vegetables,15642
Assam,Northeast,Red,921,Kharif,1.03,Millets,1380
Mizoram,Northeast,Red,1131,Rabi,0.1,Cotton,2020
Himachal Pradesh,North,Clay,1556,Rabi,2.85,Millets,1483
Tripura,Northeast,Loamy,508,Zaid,0.83,Vegetables,14252
Rajasthan,West,Black (Regur),821,Kharif,2.41,Rice,3209
Assam,Northeast,Alluvial,800,Kharif,3.18,Wheat,3308
Mizoram,Northeast,Clay,1535,Rabi,2.17,Vegetables,16321
Karnataka,South,Alluvial,1113,Kharif,0.1,Wheat,3236
Goa,West,Black (Regur),679,Kharif,0.77,Potato,21450
Tripura,Northeast,Clay,763,Rabi,2.43,Sugarcane,77753
Jharkhand,East,Sandy,701,Rabi,2.87,Maize,3403
Jharkhand,East,Black (Regur),867,Kharif,1.01,Sugarcane,69895
Uttar Pradesh,North,Loamy,867,Rabi,0.1,Sugarcane,74488
Sikkim,Northeast,Red,1161,Kharif,1.17,Oilseeds,1123
Chhattisgarh,Central,Clay,974,Kharif,0.1,Sugarcane,61940
Karnataka,South,Sandy,1196,Kharif,3.43,Vegetables,15162
Goa,West,Red,925,Rabi,2.8,Potato,25358
Uttar Pradesh,North,Red,1039,Zaid,0.1,Cotton,1748
Odisha,East,Red,587,Rabi,1.48,Maize,3378
Uttar Pradesh,North,Alluvial,1168,Rabi,0.41,Wheat,3707
Mizoram,Northeast,Clay,558,Kharif,1.95,Pulses,785
Haryana,North,Alluvial,668,Kharif,2.2,Pulses,1033
Kerala,South,Alluvial,587,Rabi,0.1,Maize,3338
